Number Attribute Specialty Credit CreditGroup Term      
14700013 2 4 3 4 1,2,3,4,5,6,7,8
40700273 2 4 3 4 1,2,3,4,5,6,7,8
S1510021 2 4 1 4 1,2,3,4,5,6,7,8
S1510031 2 4 1 4 1,2,3,4,5,6,7,8
S1510041 2 4 1 4 1,2,3,4,5,6,7,8
S1510051 2 4 1 4 1,2,3,4,5,6,7,8
30052 2 4 2 4 1,2,3,4,5,6,7,8
40091 2 4 1 4 1,2,3,4,5,6,7,8
50041 2 4 1 4 1,2,3,4,5,6,7,8
120152 2 4 2 4 1,2,3,4,5,6,7,8
130201 2 4 1 4 1,2,3,4,5,6,7,8
130221 2 4 1 4 1,2,3,4,5,6,7,8
140031 2 4 1 4 1,2,3,4,5,6,7,8
150021 2 4 1 4 1,2,3,4,5,6,7,8
150051 2 4 1 4 1,2,3,4,5,6,7,8
220072 2 4 2 4 1,2,3,4,5,6,7,8
230091 2 4 1 4 1,2,3,4,5,6,7,8
230162 2 4 2 4 1,2,3,4,5,6,7,8
240151 2 4 1 4 1,2,3,4,5,6,7,8
250082 2 4 2 4 1,2,3,4,5,6,7,8
250171 2 4 1 4 1,2,3,4,5,6,7,8
260011 2 4 1 4 1,2,3,4,5,6,7,8
260092 2 4 2 4 1,2,3,4,5,6,7,8
340031 2 4 1 4 1,2,3,4,5,6,7,8
340051 2 4 1 4 1,2,3,4,5,6,7,8
340081 2 4 1 4 1,2,3,4,5,6,7,8
420191 2 4 1 4 1,2,3,4,5,6,7,8
430141 2 4 1 4 1,2,3,4,5,6,7,8
440101 2 4 1 4 1,2,3,4,5,6,7,8
450111 2 4 1 4 1,2,3,4,5,6,7,8
450121 2 4 1 4 1,2,3,4,5,6,7,8
450141 2 4 1 4 1,2,3,4,5,6,7,8
450221 2 4 1 4 1,2,3,4,5,6,7,8
510311 2 4 1 4 1,2,3,4,5,6,7,8
510381 2 4 1 4 1,2,3,4,5,6,7,8
640491 2 4 1 4 1,2,3,4,5,6,7,8
641742 2 4 2 4 1,2,3,4,5,6,7,8
700381 2 4 1 4 1,2,3,4,5,6,7,8
700431 2 4 1 4 1,2,3,4,5,6,7,8
700481 2 4 1 4 1,2,3,4,5,6,7,8
701151 2 4 1 4 1,2,3,4,5,6,7,8
4100012 2 4 2 4 1,2,3,4,5,6,7,8
4100041 2 4 1 4 1,2,3,4,5,6,7,8
10421055 1 4 5 0 1
10421065 1 4 5 0 2
10421094 1 4 4 0 1
10421102 1 4 2 0 2
10420803 1 4 3 0 4
10430484 1 4 4 0 2
10430494 1 4 4 0 3
10430782 1 4 2 0 3
10430792 1 4 2 0 4
20740102 1 4 3 0 2
40250074 1 4 4 0 6
30310822 1 4 2 0 6
20740042 1 4 2 0 1
20220044 1 4 4 0 2
20120152 1 4 2 0 1
20120172 1 4 2 0 3
20310394 1 4 4 0 4
20120103 1 4 3 0 6
30310753 1 4 3 0 4
20310334 1 4 4 0 3
20310423 1 4 3 0 4
40310643 1 4 3 0 6
30310473 1 4 3 0 5
30310513 1 4 3 0 5
30310553 1 4 3 0 5
40310543 1 4 3 0 6
30310633 1 4 3 0 6
310072 1 4 2 0 2
40310824 1 4 4 0 5
30310743 1 4 3 0 5
30160112 1 4 2 0 3
12090043 1 4 3 0 1,2,3,4,5,6,7,8
21510123 1 4 3 0 1,2,3,4,5,6,7,8
10310062 1 4 2 0 1,2,3,4,5,6,7,8
40310314 1 4 3 0 1,2,3,4,5,6,7,8

